,borough,block,lot,lat,lng,address
8802,Brooklyn,1362,50,40.6735588,-73.9275587,"1465 Prospect Pl, Brooklyn, NY 11213, USA"
8803,Brooklyn,1363,68,40.6731005,-73.9231688,"1607 Prospect Pl, Brooklyn, NY 11233, USA"
8804,Brooklyn,1363,78,40.673139,-73.924117,"1583 Prospect Pl, Brooklyn, NY 11233, USA"
8805,Brooklyn,1372,1,40.6721175,-73.9334706,"201 Schenectady Ave, Brooklyn, NY 11213, USA"
8806,Brooklyn,1372,72,40.6716893,-73.9326886,"1381 Sterling Pl, Brooklyn, NY 11213, USA"
8807,Brooklyn,1372,76,40.6718594,-73.9329052,"1373 Sterling Pl, Brooklyn, NY 11213, USA"
8808,Brooklyn,1374,21,40.6718079,-73.9272366,"1512 Park Pl, Brooklyn, NY 11213, USA"
8809,Brooklyn,1374,33,40.6718904,-73.9261439,"1544 Park Pl, Brooklyn, NY 11213, USA"
8810,Brooklyn,1374,70,40.6715654,-73.9276712,"1535 Sterling Pl, Brooklyn, NY 11213, USA"
8811,Brooklyn,1375,69,40.6713734,-73.9241929,"1647 Sterling Pl, Brooklyn, NY 11233, USA"
8812,Brooklyn,1379,73,40.6707583,-73.9299844,"1449 St Johns Pl, Brooklyn, NY 11213, USA"
8813,Brooklyn,1380,54,40.670609,-73.926772,"1537 St Johns Pl, Brooklyn, NY 11213, USA"
8814,Brooklyn,1381,36,40.6708209,-73.9226548,"542 Ralph Ave, Brooklyn, NY 11233, USA"
8815,Brooklyn,1381,44,40.6706262,-73.9226177,"546 Ralph Ave, Brooklyn, NY 11233, USA"
8816,Brooklyn,1382,4,40.6704349,-73.939101,"295 Albany Ave, Brooklyn, NY 11213, USA"
8817,Brooklyn,1384,51,40.6698023,-73.9313116,"258 Utica Ave, Brooklyn, NY 11213, USA"
8818,Brooklyn,1384,52,40.669952,-73.9315215,"1353 Lincoln Pl, Brooklyn, NY 11213, USA"
8819,Brooklyn,1385,28,40.6701128,-73.929323,"1482 St Johns Pl, Brooklyn, NY 11213, USA"
8820,Brooklyn,1386,48,40.6695829,-73.9258082,"268 Buffalo Ave, Brooklyn, NY 11213, USA"
8821,Brooklyn,1387,1,40.6696359,-73.925156,"273 Buffalo Ave, Brooklyn, NY 11213, USA"
8822,Brooklyn,1387,7,40.6700804,-73.9250993,"261 Buffalo Ave, Brooklyn, NY 11213, USA"
8823,Brooklyn,1387,18,40.6699584,-73.924132,"1618 St Johns Pl, Brooklyn, NY 11233, USA"
8824,Brooklyn,1388,27,40.6700138,-73.9377685,"1170 Lincoln Pl, Brooklyn, NY 11213, USA"
8825,Brooklyn,1388,32,40.6700101,-73.9374109,"1188 Lincoln Pl, Brooklyn, NY 11213, USA"
8826,Brooklyn,1388,53,40.6696437,-73.937752,"919 Eastern Pkwy, Brooklyn, NY 11213, USA"
8827,Brooklyn,1389,12,40.6698643,-73.93626,"1212 Lincoln Pl, Brooklyn, NY 11213, USA"
8828,Brooklyn,1389,16,40.6698177,-73.9359362,"1226 Lincoln Pl, Brooklyn, NY 11213, USA"
8829,Brooklyn,1389,20,40.6697785,-73.9356606,"1234 Lincoln Pl, Brooklyn, NY 11213, USA"
8830,Brooklyn,1389,72,40.6695668,-73.936074,"961 Eastern Pkwy, Brooklyn, NY 11213, USA"
8831,Brooklyn,1392,23,40.6691904,-73.9269325,"1245 Eastern Pkwy, Brooklyn, NY 11213, USA"
8832,Brooklyn,1393,1,40.6687818,-73.9253144,"297 Buffalo Ave, Brooklyn, NY 11213, USA"
8833,Brooklyn,1393,40,40.6691067,-73.9228014,"1628 Lincoln Pl, Brooklyn, NY 11233, USA"
8834,Brooklyn,1393,60,40.6689545,-73.9239036,"1335 Eastern Pkwy, Brooklyn, NY 11233, USA"
8835,Brooklyn,1393,66,40.6689995,-73.9242768,"1325 Eastern Pkwy, Brooklyn, NY 11233, USA"
8836,Brooklyn,1393,72,40.669019,-73.9246385,"1315 Eastern Pkwy, Brooklyn, NY 11233, USA"
8837,Brooklyn,1395,68,40.6682719,-73.9359362,"1635 Union St, Brooklyn, NY 11213, USA"
8838,Brooklyn,1396,1,40.6678757,-73.9338498,"291 Schenectady Ave, Brooklyn, NY 11213, USA"
8839,Brooklyn,1396,13,40.6684507,-73.9333219,"1054 Eastern Pkwy, Brooklyn, NY 11213, USA"
8840,Brooklyn,1397,35,40.6681807,-73.929104,"1196 Eastern Pkwy, Brooklyn, NY 11213, USA"
8841,Brooklyn,1399,34,40.6681577,-73.9231077,"1368 Eastern Pkwy, Brooklyn, NY 11233, USA"
8842,Brooklyn,1399,39,40.6680371,-73.9224031,"1376 Eastern Pkwy, Brooklyn, NY 11233, USA"
8843,Brooklyn,1399,62,40.6676314,-73.923984,"1933 Union St, Brooklyn, NY 11233, USA"
8844,Brooklyn,1399,100,40.6668885,-73.9238651,"1153 E New York Ave, Brooklyn, NY 11212, USA"
8845,Brooklyn,1399,115,40.6671866,-73.923994,"1920 Union St, Brooklyn, NY 11233, USA"
8846,Brooklyn,1399,145,40.6669455,-73.9237166,"1169 E New York Ave, Brooklyn, NY 11212, USA"
8847,Brooklyn,1401,17,40.6678141,-73.9358982,"1602 Union St, Brooklyn, NY 11213, USA"
8848,Brooklyn,1401,21,40.6678332,-73.9355688,"1608 Union St, Brooklyn, NY 11213, USA"
8849,Brooklyn,1401,43,40.6675954,-73.9342727,"312 Schenectady Ave, Brooklyn, NY 11213, USA"
8850,Brooklyn,1401,47,40.6673636,-73.9343059,"1617 President St, Brooklyn, NY 11213, USA"
8851,Brooklyn,1402,1,40.6673398,-73.9337318,"1625 President St, Brooklyn, NY 11213, USA"
8852,Brooklyn,1402,24,40.6676788,-73.9325837,"1690 Union St, Brooklyn, NY 11213, USA"
8853,Brooklyn,1402,29,40.6676281,-73.9321699,"1692 Union St, Brooklyn, NY 11213, USA"
8854,Brooklyn,1403,25,40.6674883,-73.9296688,"1752 Union St, Brooklyn, NY 11213, USA"
8855,Brooklyn,1403,40,40.6673572,-73.9286123,"308 Rochester Ave, Brooklyn, NY 11213, USA"
8856,Brooklyn,1403,55,40.6672023,-73.9291639,"1745 President St, Brooklyn, NY 11213, USA"
8857,Brooklyn,1406,37,40.6670476,-73.937245,"1544 President St, Brooklyn, NY 11213, USA"
8858,Brooklyn,1406,50,40.6667937,-73.9374976,"1497 Carroll St, Brooklyn, NY 11213, USA"
8859,Brooklyn,1407,43,40.6664532,-73.9344174,"1585 Carroll St, Brooklyn, NY 11213, USA"
8860,Brooklyn,1408,7,40.6669589,-73.9337989,"1622 President St, Brooklyn, NY 11213, USA"
8861,Brooklyn,1408,23,40.6667849,-73.9326319,"1654 President St, Brooklyn, NY 11213, USA"
8862,Brooklyn,1409,1,40.6663553,-73.93116,"1651 Carroll St, Brooklyn, NY 11213, USA"
8863,Brooklyn,1409,37,40.6668662,-73.9285682,"1754 President St, Brooklyn, NY 11213, USA"
8864,Brooklyn,1409,44,40.6662821,-73.9288122,"1719 Carroll St, Brooklyn, NY 11213, USA"
8865,Brooklyn,1412,1,40.666123,-73.9397206,"407 Albany Ave, Brooklyn, NY 11213, USA"
8866,Brooklyn,1412,25,Not Found,,
8867,Brooklyn,1412,50,40.6657946,-73.9373884,"627 Crown St, Brooklyn, NY 11213, USA"
8868,Brooklyn,1413,1,40.6658128,-73.9365791,"641 Crown St, Brooklyn, NY 11213, USA"
8869,Brooklyn,1415,16,40.6657337,-73.9298695,"1710 Carroll St, Brooklyn, NY 11213, USA"
8870,Brooklyn,1415,31,40.6655835,-73.9295963,"14 Ford St, Brooklyn, NY 11213, USA"
8871,Brooklyn,1415,35,40.6651235,-73.9294108,"843 Crown St, Brooklyn, NY 11213, USA"
8872,Brooklyn,1415,45,40.6656812,-73.9291393,"1730 Carroll St, Brooklyn, NY 11213, USA"
8873,Brooklyn,1415,75,40.6654576,-73.9300119,"825 Crown St, Brooklyn, NY 11213, USA"
8874,Brooklyn,1418,7,40.6653918,-73.9366967,"650 Crown St, Brooklyn, NY 11213, USA"
8875,Brooklyn,1418,49,40.6645086,-73.9343269,"919 Montgomery St, Brooklyn, NY 11213, USA"
8876,Brooklyn,1419,1,40.664691,-73.9338199,"921 Montgomery St, Brooklyn, NY 11213, USA"
8877,Brooklyn,1419,6,40.6651111,-73.9338664,"712 Crown St, Brooklyn, NY 11213, USA"
8878,Brooklyn,1419,62,40.6646272,-73.9332423,"947 Montgomery St, Brooklyn, NY 11213, USA"
8879,Brooklyn,1420,20,40.6648583,-73.9298741,"826 Crown St, Brooklyn, NY 11213, USA"
8880,Brooklyn,1420,24,40.6651219,-73.9293804,"846 Crown St, Brooklyn, NY 11213, USA"
8881,Brooklyn,1420,61,40.664263,-73.9298959,"1059 Montgomery St, Brooklyn, NY 11213, USA"
8882,Brooklyn,1422,1,40.6642801,-73.939743,"463 Albany Ave, Brooklyn, NY 11213, USA"
8883,Brooklyn,1422,5,40.6643035,-73.9397374,"457 Albany Ave, Brooklyn, NY 11213, USA"
8884,Brooklyn,1422,42,40.6639191,-73.9374573,"755 Empire Blvd, Brooklyn, NY 11213, USA"
8885,Brooklyn,1422,64,40.6641307,-73.938775,"707 Empire Blvd, Brooklyn, NY 11213, USA"
8886,Brooklyn,1423,1,40.663973,-73.936818,"757 Empire Blvd, Brooklyn, NY 11213, USA"
8887,Brooklyn,1423,7,40.6644971,-73.936775,"840 Montgomery St, Brooklyn, NY 11213, USA"
8888,Brooklyn,1423,24,40.6644641,-73.9355063,"888 Montgomery St, Brooklyn, NY 11213, USA"
8889,Brooklyn,1424,1,40.6637319,-73.9339497,"847 Empire Blvd, Brooklyn, NY 11213, USA"
8890,Brooklyn,1424,33,40.6641774,-73.9322852,"990 Montgomery St, Brooklyn, NY 11213, USA"
8891,Brooklyn,1424,57,40.663822,-73.932924,"889 Empire Blvd, Brooklyn, NY 11213, USA"
8892,Brooklyn,1424,63,40.6636767,-73.9329856,"873 Empire Blvd, Brooklyn, NY 11213, USA"
8893,Brooklyn,1425,6,40.664081,-73.931115,"1004 Montgomery St, Brooklyn, NY 11203, USA"
8894,Brooklyn,1425,13,40.6641797,-73.9298169,"995 E New York Ave, Brooklyn, NY 11212, USA"
8895,Brooklyn,1426,7,40.663569,-73.9398086,"481 Albany Ave, Brooklyn, NY 11203, USA"
8896,Brooklyn,1426,40,40.6635644,-73.9375682,"740 Empire Blvd, Brooklyn, NY 11213, USA"
8897,Brooklyn,1427,7,40.6634622,-73.9363138,"770 Empire Blvd, Brooklyn, NY 11213, USA"
8898,Brooklyn,1428,32,40.6631547,-73.9374853,"712 Lefferts Ave, Brooklyn, NY 11203, USA"
8899,Brooklyn,1429,1,40.6626719,-73.9363575,"795 E New York Ave, Brooklyn, NY 11203, USA"
8900,Brooklyn,1429,17,40.6630381,-73.9358823,"750 Lefferts Ave, Brooklyn, NY 11203, USA"
8901,Brooklyn,1429,32,40.6627021,-73.9347028,"851 E New York Ave, Brooklyn, NY 11203, USA"
8902,Brooklyn,1429,156,40.662687,-73.9361177,"803 E New York Ave, Brooklyn, NY 11203, USA"
8903,Brooklyn,1430,1,40.6627374,-73.9339291,"859 E New York Ave, Brooklyn, NY 11203, USA"
8904,Brooklyn,1431,45,40.6761707,-73.9206303,"2027 Pacific St, Brooklyn, NY 11233, USA"
8905,Brooklyn,1433,23,40.6764189,-73.9152436,"2158 Atlantic Ave, Brooklyn, NY 11233, USA"
